央视频道,#genre#
吉林卫视,http://222.85.81.15:6060/PLTV1/1360/index.m3u8?icpid=dxrm1&servicetype=
宁夏卫视,http://222.85.81.15:6060/PLTV1/1380/index.m3u8?icpid=dxrm1&servicetype=
东南卫视,http://222.85.81.15:6060/PLTV1/1400/index.m3u8?icpid=dxrm1&servicetype=
内蒙古卫视,http://222.85.81.15:6060/PLTV1/1420/index.m3u8?icpid=dxrm1&servicetype=
广西卫视,http://222.85.81.15:6060/PLTV1/1440/index.m3u8?icpid=dxrm1&servicetype=
山西卫视,http://222.85.81.15:6060/PLTV1/1460/index.m3u8?icpid=dxrm1&servicetype=
海南卫视,http://222.85.81.15:6060/PLTV1/1480/index.m3u8?icpid=dxrm1&servicetype=
甘肃卫视,http://222.85.81.15:6060/PLTV1/1500/index.m3u8?icpid=dxrm1&servicetype=
青海卫视,http://222.85.81.15:6060/PLTV1/1520/index.m3u8?icpid=dxrm1&servicetype=
金鹰卡通,http://222.85.81.15:6060/PLTV1/1540/index.m3u8?icpid=dxrm1&servicetype=
嘉佳卡通,http://222.85.81.15:6060/PLTV1/1560/index.m3u8?icpid=dxrm1&servicetype=
卡酷动画,http://222.85.81.15:6060/PLTV1/1580/index.m3u8?icpid=dxrm1&servicetype=
炫动卡通,http://222.85.81.15:6060/PLTV1/1600/index.m3u8?icpid=dxrm1&servicetype=
新疆卫视,http://222.85.81.15:6060/PLTV1/1620/index.m3u8?icpid=dxrm1&servicetype=
西藏卫视,http://222.85.81.15:6060/PLTV1/1640/index.m3u8?icpid=dxrm1&servicetype=
优漫卡通,http://222.85.81.15:6060/PLTV1/1660/index.m3u8?icpid=dxrm1&servicetype=




电信央视,#genre#
央视4K,http://222.85.69.145/PLTV/88888888/224/3221227244/index.m3u8
央视4K,rtsp://222.85.69.6/PLTV/88888888/224/3221227251/10000100000000060000000003315046_0.smil
CCTV-1,http://123.160.112.73:80/PLTV/88888888/224/3221227052/1.m3u8
CCTV-2,http://123.160.112.7:80/PLTV/88888888/224/3221227049/1.m3u8
CCTV-3,http://123.160.112.5:80/PLTV/88888888/224/3221227053/1.m3u8
CCTV-4,http://123.160.112.5:80/PLTV/88888888/224/3221227050/1.m3u8
CCTV-5,http://123.160.112.6:80/PLTV/88888888/224/3221227047/1.m3u8
CCTV-6,http://123.160.112.7:80/PLTV/88888888/224/3221227046/1.m3u8
CCTV-7,http://123.160.112.71:80/PLTV/88888888/224/3221227084/1.m3u8
CCTV-8,http://123.160.112.72:80/PLTV/88888888/224/3221227081/1.m3u8
CCTV-9,http://123.160.112.5:80/PLTV/88888888/224/3221227078/1.m3u8
CCTV-10,http://123.160.112.6:80/PLTV/88888888/224/3221227043/1.m3u8
CCTV-11,http://123.160.112.7:80/PLTV/88888888/224/3221227040/1.m3u8
CCTV-12,http://123.160.112.7:80/PLTV/88888888/224/3221227044/1.m3u8
CCTV-13,http://123.160.112.8:80/PLTV/88888888/224/3221227041/1.m3u8
CCTV-14,http://123.160.112.71:80/PLTV/88888888/224/3221227038/1.m3u8
CCTV-15,http://123.160.112.7:80/PLTV/88888888/224/3221227037/1.m3u8
CGTN,http://123.160.112.6:80/PLTV/88888888/224/3221227075/1.m3u8
CCTV-17,http://123.160.112.6:80/PLTV/88888888/224/3221227072/1.m3u8
CCTV-5+,http://123.160.112.5:80/PLTV/88888888/224/3221227069/1.m3u8

电信卫视,#genre#
河南卫视,http://123.160.112.70:80/PLTV/88888888/224/3221226984/1.m3u8
都市频道,http://123.160.112.70:80/PLTV/88888888/224/3221226974/1.m3u8
民生频道,http://123.160.112.71:80/PLTV/88888888/224/3221226994/1.m3u8
法制频道,http://123.160.112.72:80/PLTV/88888888/224/3221226991/1.m3u8
电视剧频道,http://123.160.112.70:80/PLTV/88888888/224/3221226971/1.m3u8
新闻频道,http://123.160.112.72:80/PLTV/88888888/224/3221226997/1.m3u8
公共频道,http://123.160.112.69:80/PLTV/88888888/224/3221226989/1.m3u8
新农村频道,http://123.160.112.69:80/PLTV/88888888/224/3221226986/1.m3u8
河南国际,http://123.160.112.71:80/PLTV/88888888/224/3221227000/1.m3u8
浙江卫视,http://123.160.112.9:80/PLTV/88888888/224/3221227008/1.m3u8
东方卫视,http://123.160.112.12:80/PLTV/88888888/224/3221227020/1.m3u8
江苏卫视,http://123.160.112.10:80/PLTV/88888888/224/3221227007/1.m3u8
北京卫视,http://123.160.112.7:80/PLTV/88888888/224/3221227036/1.m3u8
广东卫视,http://123.160.112.11:80/PLTV/88888888/224/3221227033/1.m3u8
黑龙江卫视,http://123.160.112.7:80/PLTV/88888888/224/3221227039/1.m3u8
山东卫视,http://123.160.112.72:80/PLTV/88888888/224/3221227004/1.m3u8
安徽卫视,http://123.160.112.9:80/PLTV/88888888/224/3221227017/1.m3u8
辽宁卫视,http://123.160.112.10:80/PLTV/88888888/224/3221227014/1.m3u8
陕西卫视,http://123.160.112.10:80/PLTV/88888888/224/3221227011/1.m3u8
贵州卫视,http://123.160.112.72:80/PLTV/88888888/224/3221227001/1.m3u8
河北卫视,http://123.160.112.12:80/PLTV/88888888/224/3221227027/1.m3u8
江西卫视,http://123.160.112.12:80/PLTV/88888888/224/3221227024/1.m3u8
